Timestamp,What is your Gender?,What is your age?,Name of the company you are currently working on (if you want to disclose),How many employees does your current company have?,What is your highest academic degree?,For how many years have you coded professionally?,What is your current role?,What are your expectations from the new hires?,categories,labels
1/4/2021 12:45:11,Male,30,Kona Software Lab Limited,51 - 150,B.Sc.,5 to 10,Team Lead,Should learn a specific domain before moving into another one.,Motivation for Learning,self-learner
1/4/2021 12:54:23,Male,31,Kona Software Lab Limited ,51 - 150,M.Sc.,5 to 10,R&D Engineer,"Adaptive to our culture, self motivate, ","Sincerity, Motivation for Learning","adaptive, enthusiastic"
1/4/2021 12:57:02,Male,29,Ksl,51 - 150,B.Sc.,2 to 5,R&D Engineer,"Learn, learn, learn.",Motivation for Learning,self-learner
1/4/2021 13:00:30,Male,25,Kona software lab limited ,51 - 150,B.Sc.,2 to 5,Developer,Better salary and better work life balance ,Sincerity,"transparency, adaptive"
1/4/2021 13:16:44,Male,30,Kona Software lab,51 - 150,B.Sc.,5 to 10,Team Lead,"Team player, Good Human","Knack in Standard SE practice, Sincerity","team player, good behavior"
1/4/2021 19:05:10,Male,25,Kona Software Labs Limited,51 - 150,B.Sc.,less than 2,Developer,The new hires should have the will to adapt with new technologies and should have thirst for new knowledge and learning. Thinking and designing is more important then coding random stuffs,"Sincerity, Motivation for Learning","adaptive, entusiastic, self-learner, better thinking"
1/4/2021 22:11:32,Male,25,,51 - 150,B.Sc.,less than 2,R&D Engineer,Adaptation Quality ,Sincerity,adaptive
1/5/2021 6:28:48,Male,38,Kona Software Lab Limited,51 - 150,B.Sc.,more than 10,Team Lead,Get used with the new culture and environment. Do not hesitate to ask question to your peers.,Sincerity,"adaptive, collaborative"
1/6/2021 16:25:32,Male,35,Kona Software Lab Limited,51 - 150,B.Sc.,5 to 10,Manager,"Strong basic knowledge about the technology, quick learner, team player","Knack in Standard SE practice, Motivation for Learning","technologically proficient, quick learner, team player"
1/6/2021 22:50:49,Male,25,TigerIT,51 - 150,B.Sc.,2 to 5,R&D Engineer,"cooperation, solidarity",Sincerity,"co-operative, solidarity"
1/7/2021 14:12:32,Male,28,REVE Systems,51 - 150,B.Sc.,2 to 5,Team Lead,"For freshers, solid foundation and understanding of company domain.",Knack in Standard SE practice,having knowledge of CS
1/7/2021 14:26:16,Male,24,REVE Systems,151 - 500,B.Sc.,less than 2,Developer,"Progressive, active and collaborative.","Sincerity, Motivation for Learning, Knack in Standard SE practice","progressive, proactive, team player"
1/7/2021 14:36:42,Male,28,Reve Systems,151 - 500,B.Sc.,2 to 5,Developer,"My expectation from new fresher would be that they would be more professional, as from my experience observed that though many of them are Skilled they lack some sense of responsibilities and project timeline.",Knack in Standard SE practice,"professional, responsible"
1/7/2021 17:26:45,Male,33,CodeCrafters International Ltd,11 - 50,B.Sc.,more than 10,Team Lead,Has to be open to self improvement for personal and professional gain. Has to be a good person and others have to be able to feel that.,"Motivation for Learning, Sincerity","self-improvement, good behavior"
1/7/2021 18:22:43,Male,32,Kona Software Lab,51 - 150,M.Sc.,more than 10,Manager,adaptivity,Sincerity,adaptive
1/8/2021 13:54:39,Male,36,Kona Software Lab Limited,51 - 150,B.Sc.,less than 2,Manager,"Be disciplined, hard-working and sincere.","Knack in Standard SE practice, Sincerity","responsible, hard working, sincere"
