Timestamp,What is your Gender?,What is your age?,Name of the company you are currently working on (if you want to disclose),How many employees does your current company have?,What is your highest academic degree?,For how many years have you coded professionally?,What is your current role?,What are your expectations from the universities?,categories,labels
2019/01/11 6:06:30 PM GMT+6,Male,41,DSi,,,more than 10,Architect,"if possible, adopt contemporary technologies",Proper Teaching,teaching innovative technologies
2019/01/13 11:16:39 PM GMT+6,Male,38,CoKreates,,,more than 10,Project manager,"From BUET, I love what you produce. No complaint but would be great to see them answer better in interviews. Best I have seen so far, Saad Manzur (2011).
From others, impose more focus on data structures and algorithms",Proper Teaching,"proper teaching, improved insights"
2019/01/14 1:42:22 PM GMT+6,Male,41,Cefalo,,,more than 10,"High level management ( CEO, CIO, CFO )",provide application oriented and hands-on knowledge,Proper Teaching,practical teaching
2019/01/14 2:02:58 PM GMT+6,Male,40,M F Asia Ltd,,,more than 10,"High level management ( CEO, CIO, CFO )",Build capacity to learn rather and grow.,Proper Learning Environment,learning environment
2019/01/14 2:27:24 PM GMT+6,Male,43,Metafour,,,5 to 10,"Project manager;High level management ( CEO, CIO, CFO )",Develop a mindset of responsibility and professionalism. Help the students to choose their strong area of work.,"Proper Teaching, Proper Learning Environment","teaching professional SE practices, helpful to the students"
2019/01/14 3:59:32 PM GMT+6,Male,36,,,,more than 10,Developer,Keep student up to date with new technologies as much as possible. And have better intern system for the last year students.,"Proper Learning Environment, Career Focused","teaching innovative technologies, manage internship"
2019/01/14 4:07:06 PM GMT+6,Male,37,Business Accelerate BD Ltd.,,,more than 10,"High level management ( CEO, CIO, CFO )",Solid Baseline,Proper Teaching,proper teaching
2019/01/14 4:10:54 PM GMT+6,Female,30,DECK deals limited,,,5 to 10,"High level management ( CEO, CIO, CFO )",building  a good basics in the students not only to learn coding.,Proper Teaching,proper teaching
2019/01/14 4:28:52 PM GMT+6,Female,,Business Accelerate BD Ltd,,,less than 2,Developer,"Good teacher,maintain routine,necessary equipment for teacher and student","Proper Teaching, Proper Learning Environment","behavioral teaching, proper environment, helpful to the students"
2019/01/15 11:02:58 AM GMT+6,Male,34,Cefalo Bangladesh Ltd,,,5 to 10,Developer,"Focus programming courses, seminar, workshop and contests, internship.","Proper Teaching, Career Focused","practical teaching, seminar, manage internship"
2019/01/15 12:57:40 PM GMT+6,Male,44,,,,more than 10,Business analyst;Project manager,"Teach students Professional Ethics and Practices, Tie-up with Industry Practices and Problems, Solutions or Research Paper for any specific or generic Technical/Administrative problems.  ",Proper Teaching,"teaching professional SE practices, practical teaching, focus on reseach"
2019/01/15 5:01:36 PM GMT+6,Male,37,Business Accelerate BD Ltd.,,,more than 10,"High level management ( CEO, CIO, CFO )",Solid Baseline,Proper Teaching,proper teaching
2019/01/15 9:33:40 PM GMT+6,Male,38,Craftsmen Ltd,,,more than 10,"Developer;High level management ( CEO, CIO, CFO )",Strong collaboration with the industries so that the graduates can be easily embedded to the industry after graduation. Generally it takes around 6 months to 1 year to train up a graduates. ,Career Focused,"training, collaboration with industry"
2019/01/16 8:27:40 AM GMT+6,Male,35,,,,more than 10,"Developer;Business analyst;Project manager;High level management ( CEO, CIO, CFO )","Produce graduates with high IQ and industry relevant up to date knowledge, placement",Proper Teaching,"practical teaching, teaching innovative technologies"
2019/01/16 8:28:26 PM GMT+6,Male,27,Ipay,,,2 to 5,Developer,University should train student some basic knowledge of industry practice. Research on industry SDLC.,Proper Teaching,"practical teaching, focus on reseach"
2019/01/17 10:11:36 AM GMT+6,Male,37,Infosapex,,,more than 10,Developer;Tester;Project manager,more lab work base on real world need,Proper Teaching,focus on reseach
2019/01/17 2:49:50 PM GMT+6,Male,34,InfoSapex,,,5 to 10,Technical Project Manager,"Some of the Universities have updated/changed their curriculum accordingly to the market demand and available technology. Hopefully, the adoption rate will be faster.",Proper Teaching,"teaching innovative technologies, redesign the curriculam"
2019/01/25 10:43:40 PM GMT+6,Male,26,,,,2 to 5,Project manager,Update curriculum. Should give more importance on software engineering. ,Proper Teaching,"teaching professional SE practices, redesign the curriculam"
2019/01/26 4:59:22 AM GMT+6,Male,33,,,,5 to 10,Developer,"Focus On Basic, Understand Market demand Tech, Force Student for Research, Career Counseling","Proper Teaching, Career Focused","follow standard teaching practice, teaching innovative technologies, focus on reseach, career talk"
2019/01/26 9:37:09 AM GMT+6,Male,35,Southtech Limited,,,5 to 10,Developer, give me 10  fresher programmer from every university  within a year. ,Career Focused,collaboration with industry
2019/01/29 10:40:57 PM GMT+6,Male,25,BJIT,,,less than 2,Developer,be fair with the students. all the students are not idiot and all the students are not superman,Proper Learning Environment,"pressure free environment, proper environment, helpful to the students"
2019/03/12 1:41:33 PM GMT+6,Male,26,,,,2 to 5,"Developer;Project manager;High level management ( CEO, CIO, CFO )","Involving students with some hands on projects, teaching them SW best practices etc",Proper Teaching,"teaching professional SE practices, practical teaching"
2019/03/22 2:52:35 PM GMT+6,Male,15,,,,less than 2,Developer,many talented young propel.. who love programming ,Proper Learning Environment,"learning environment, focus on skills"
